sundanese,indonesian
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.099, samantaro magnitudo mutlaknyo adolah 25.4.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.099, sementara magnitudo mutlaknya adalah 25.4."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid pada umumnya, asteroid ini terbentuk dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula matahari muda yang tidak cukup besar untuk berubah menjadi planet."
2012 AE3,2012 AE3
2012 AE3 adolah sabuah asteroid.,2012 AE3 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Amor, nan talatak dakek jo Bumi.","Asteroid ini merupakan bagian dari asteroid Amor, yang terletak dekat dengan Bumi."
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.184, samantaro magnitudo mutlaknyo adolah 20.0.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.184, sementara magnitudo mutlaknya adalah 20.0."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid secara keseluruhan, asteroid ini terbentuk dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula Matahari muda yang tidak cukup besar untuk berubah menjadi planet."
Callyspongia implexa,Callyspongia implexa
Callyspongia implexa adolah spesies spons nan tagolong dalam kelas Demospongiae.,Callyspongia implexa adalah spesies spons yang tergolong dalam kelas Demospongiae.
Spesies ko juo marupokan bagian dari genus Callyspongia dan famili Callyspongiidae.,Spesies ini juga merupakan bagian dari genus Callyspongia dan famili Callyspongiidae.
Namo ilmiah spesies ko pertamo kali ditabikan pado taun 1892 dek Topsent.,Nama ilmiah spesies ini pertama kali diterbitkan pada tahun 1892 oleh Topsent.
"Saroman spons pado umumnyo, spesies ko mamiliki tubuah nan bapori dan pamukaan nan kareh mode batu.","Seperti spons pada umumnya, spesies ini memiliki tubuh yang berpori dan permukaan yang keras seperti batu."
"Salain itu, Callyspongia implexa dapek juo manyerap oksigen dari aia malalui proses difusi.","Selain itu, Callyspongia implexa juga dapat menyerap oksigen dari air melalui proses difusi."
Diplocephalus culminicola,Diplocephalus culminicola
Diplocephalus culminicola adolah sabuah spesies lawah nan tagolong dalam famili Linyphiidae.,Diplocephalus culminicola adalah spesies laba-laba yang tergolong dalam famili Linyphiidae.
Spesies ko juo marupokan bagian dari genus Diplocephalus dan ordo Araneae.,Spesies ini juga merupakan bagian dari ordo Araneae.
Namo ilmiah dari spesies ko partamo kali ditabik'an pado taun 1884 dek Simon.,Nama ilmiah dari spesies ini pertama kali diterbitkan pada tahun 1884 oleh Simon.
Lawah iko biasonyo banyak ditamui di Parancih.,Laba-laba ini biasanya banyak ditemui di Perancis.
2007 FS35,2007 FS35
2007 FS35 adolah sabuah asteroid.,2007 FS35 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Amor, nan talatak dakek jo Bumi.","Asteroid ini merupakan bagian dari asteroid Amor, yang terletak dekat dengan Bumi."
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.390, samantaro magnitudo mutlaknyo adolah 19.4.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.390, sementara magnitudo mutlaknya adalah 19.4."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid secara keseluruhan, asteroid ini terbentuk dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula Matahari muda yang tidak cukup besar untuk berubah menjadi planet."
Lissodendoryx (Ectyodoryx) diversichela,Lissodendoryx (Ectyodoryx) diversichela
Lissodendoryx (Ectyodoryx) diversichela adolah spesies spons nan tagolong dalam kelas Demospongiae.,Lissodendoryx (Ectyodoryx) diversichela adalah spesies spons yang tergolong dalam kelas Demospongiae.
Spesies ko juo marupokan bagian dari genus Lissodendoryx dan famili Coelosphaeridae.,Spesies ini juga merupakan bagian dari genus Lissodendoryx dan famili Coelosphaeridae.
"Namo ilmiah spesies ko pertamo kali ditabikan pado taun 1905 dek Lundbeck. Saroman spons pado umumnyo, spesies ko mamiliki tubuah nan bapori dan pamukaan nan kareh mode batu.",Nama ilmiah spesies ini pertama kali diterbitkan pada tahun 1905 oleh Lundbeck.
"Salain itu, Lissodendoryx (Ectyodoryx) diversichela dapek juo manyerap oksigen dari aia malalui proses difusi.","Selain itu, Lissodendoryx (Ectyodoryx) diversichela juga dapat menyerap oksigen dari air melalui proses difusi."
Clathria (Clathria) ulmus,Clathria (Clathria) ulmus
Clathria (Clathria) ulmus adolah spesies spons nan tagolong dalam kelas Demospongiae.,Clathria (Clathria) ulmus adalah spesies spons yang tergolong dalam kelas Demospongiae.
Spesies ko juo marupokan bagian dari genus Clathria dan famili Microcionidae.,Spesies ini juga merupakan bagian dari genus Clathria dan famili Microcionidae.
Namo ilmiah spesies ko pertamo kali ditabikan pado taun 1880 dek Vosmaer.,Nama ilmiah spesies ini pertama kali diterbitkan pada tahun 1880 oleh Vosmaer.
"Saroman spons pado umumnyo, spesies ko mamiliki tubuah nan bapori dan pamukaan nan kareh mode batu.","Seperti spons pada umumnya, spesies ini memiliki tubuh yang berpori dan permukaan yang keras seperti batu."
"Salain itu, Clathria (Clathria) ulmus dapek juo manyerap oksigen dari aia malalui proses difusi.","Selain itu, Clathria (Clathria) ulmus juga dapat menyerap oksigen dari air melalui proses difusi."
2007 VJ189,2007 VJ189
2007 VJ189 adolah sabuah asteroid.,2007 VJ189 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Apollo, nan talatak dakek jo Bumi.","Asteroid ini merupakan bagian dari asteroid Apollo, yang terletak dekat dengan Bumi."
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.150, samantaro magnitudo mutlaknyo adolah 25.7.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.150, sementara magnitudo mutlaknya adalah 25.7."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid pada umumnya, asteroid ini terbentuk dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula matahari muda yang tidak cukup besar untuk berubah menjadi planet."
2004 CK39,2004 CK39
2004 CK39 adolah sabuah asteroid.,2004 CK39 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Apollo, nan talatak dakek jo Bumi.","Asteroid ini merupakan bagian dari asteroid Apollo, yang terletak dekat dengan Bumi."
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.832, samantaro magnitudo mutlaknyo adolah 19.2.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.832, sementara magnitudo mutlaknya adalah 19.2."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid pada umumnya, asteroid ini terbentuk dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula matahari muda yang tidak cukup besar untuk berubah menjadi planet."
Cherserigone gracilipes,Cherserigone gracilipes
Cherserigone gracilipes adolah sabuah spesies lawah nan tagolong dalam famili Linyphiidae.,Cherserigone gracilipes adalah spesies laba-laba yang tergolong dalam famili Linyphiidae.
Spesies ko juo marupokan bagian dari genus Cherserigone dan ordo Araneae.,Spesies ini juga merupakan bagian dari ordo Araneae.
Namo ilmiah dari spesies ko partamo kali ditabik'an pado taun 1954 dek Denis.,Nama ilmiah dari spesies ini pertama kali diterbitkan pada tahun 1954 oleh Denis.
Lawah iko biasonyo banyak ditamui di Aljazair.,Laba-laba ini biasanya banyak ditemui di Aljazair.
Celidosphenella bella,Celidosphenella bella
Celidosphenella bella adolah sabuah lalek dari famili Tephritidae.,Celidosphenella bella adalah spesies lalat dari famili Tephritidae.
"Spesies ko juo marupokan bagian dari ordo Diptera, kelas Insecta, filum Arthropoda, dan kingdom Animalia.","Spesies ini juga merupakan bagian dari ordo Diptera, kelas Insecta, filum Arthropoda, dan kingdom Animalia."
"Kabanyakan lalek buah batalua dalam jaringan tanaman, di mano larva manamuan makanan partamonyo sangkek nyo muncua.","Kebanyakan anggota spesies ini bertelur dalam jaringan tanaman, tempat larva menemukan makanan pertamanya setelah lahir."
Lalek dewasa biasonyo barumua sangaik pendek.,Lalat dewasa biasanya berumur sangat pendek.
Babarapo hiduik salamo kurang dari saminggu.,Beberapa hidup selama kurang dari seminggu.
2008 EC32,2008 EC32
2008 EC32 adolah sabuah asteroid.,2008 EC32 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Apollo, nan talatak dakek jo Bumi.","Asteroid ini merupakan bagian dari asteroid Apollo, yang terletak dekat dengan Bumi."
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.647, samantaro magnitudo mutlaknyo adolah 26.7.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.647, sementara magnitudo mutlaknya adalah 26.7."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid pada umumnya, asteroid ini terbentuk dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula matahari muda yang tidak cukup besar untuk berubah menjadi planet."
(21900) 1999 VQ10,(21900) 1999 VQ10
(21900) 1999 VQ10 adolah sabuah asteroid.,(21900) 1999 VQ10 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Troya Yupiter, nan talatak di orbit Yupiter.","Asteroid ini merupakan bagian dari asteroid Troya Yupiter, yang terletak di orbit Yupiter."
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.037, samantaro magnitudo mutlaknyo adolah 9.9.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.037, sementara magnitudo mutlaknya adalah 9.9."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid secara keseluruhan, asteroid ini terbentuk dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula Matahari muda yang tidak cukup besar untuk berubah menjadi planet."
2013 RV5,2013 RV5
2013 RV5 adolah sabuah asteroid.,2013 RV5 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Amor, nan talatak dakek jo Bumi.","Asteroid ini merupakan bagian dari asteroid Amor, yang terletak dekat dengan Bumi."
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.194, samantaro magnitudo mutlaknyo adolah 22.7.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.194, sementara magnitudo mutlaknya adalah 22.7."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid secara keseluruhan, asteroid ini terbentuk dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula Matahari muda yang tidak cukup besar untuk berubah menjadi planet."
2013 QV1,2013 QV1
2013 QV1 adolah sabuah asteroid.,2013 QV1 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Apollo, nan talatak dakek jo Bumi.","Asteroid ini merupakan bagian dari asteroid Apollo, yang terletak dekat dengan Bumi."
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.274, samantaro magnitudo mutlaknyo adolah 22.0.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.274, sementara magnitudo mutlaknya adalah 22.0."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid pada umumnya, asteroid ini terbentuk dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula matahari muda yang tidak cukup besar untuk berubah menjadi planet."
Aelurillus cypriotus,Aelurillus cypriotus
Aelurillus cypriotus adolah sabuah spesies lawah nan tagolong dalam famili Salticidae.,Aelurillus cypriotus adalah spesies laba-laba yang tergolong dalam famili Salticidae.
Spesies ko juo marupokan bagian dari genus Aelurillus dan ordo Araneae.,Spesies ini juga merupakan bagian dari genus Aelurillus dan ordo Araneae.
Namo ilmiah spesies ko pertamo kali ditabik'an pado taun 2006 dek Azarkina.,Nama ilmiah dari spesies ini pertama kali diterbitkan pada tahun 2006 oleh Azarkina.
Lawah iko biasonyo banyak ditamuii di Siprus.,Laba-laba ini biasanya banyak ditemui di Siprus.
(257495) 1995 UE67,(257495) 1995 UE67
(257495) 1995 UE67 adolah sabuah asteroid.,(257495) 1995 UE67 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Troya Yupiter, nan talatak di orbit Yupiter.","Asteroid ini merupakan bagian dari asteroid Troya Yupiter, yang terletak di orbit Yupiter."
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.015, samantaro magnitudo mutlaknyo adolah 13.7.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.015, sementara magnitudo mutlaknya adalah 13.7."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid secara keseluruhan, asteroid ini terbentuk dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula Matahari muda yang tidak cukup besar untuk berubah menjadi planet."
Oceanapia coriacea,Oceanapia coriacea
Oceanapia coriacea adolah spesies spons nan tagolong dalam kelas Demospongiae.,Oceanapia coriacea adalah spesies spons yang tergolong dalam kelas Demospongiae.
"Spesies ko juo marupokan bagian dari filum Porifera dan subregnum Parazoa. Saroman spons pado umumnyo, spesies ko mamiliki tubuah nan bapori dan pamukaan nan kareh mode batu.","Spesies ini juga merupakan bagian dari kelas Demospongiae, filum Porifera, subregnum Parazoa, dan kingdom Animalia."
"Salain itu, Oceanapia coriacea dapek juo manyerap oksigen dari aia malalui proses difusi.","Selain itu, Oceanapia coriacea juga dapat menyerap oksigen dari air melalui proses difusi."
2007 VB138,2007 VB138
2007 VB138 adolah sabuah asteroid.,2007 VB138 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Aten, nan talatak dakek jo Bumi.","Asteroid ini merupakan bagian dari asteroid Aten, yang terletak dekat dengan Bumi."
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.431, samantaro magnitudo mutlaknyo adolah 26.1.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.431, sementara magnitudo mutlaknya adalah 26.1."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid pada umumnya, asteroid ini terbentum dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula matahari muda yang tidak cukup besar untuk berubah menjadi planet."
(14268) 2000 AK156,(14268) 2000 AK156
(14268) 2000 AK156 adolah sabuah asteroid.,(14268) 2000 AK156 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Troya Yupiter, nan talatak di orbit Yupiter.","Asteroid ini merupakan bagian dari asteroid Troya Yupiter, yang terletak di orbit Yupiter."
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.089, samantaro magnitudo mutlaknyo adolah 10.4.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.089, sementara magnitudo mutlaknya adalah 10.4."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid secara keseluruhan, asteroid ini terbentuk dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula Matahari muda yang tidak cukup besar untuk berubah menjadi planet."
2002 VP85,2002 VP85
2002 VP85 adolah sabuah asteroid.,2002 VP85 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Amor, nan talatak dakek jo Bumi.",2002 VP85 adalah sebuah asteroid.
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.380, samantaro magnitudo mutlaknyo adolah 20.0.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.380, sementara magnitudo mutlaknya adalah 20.0."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid secara keseluruhan, asteroid ini terbentuk dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula Matahari muda yang tidak cukup besar untuk berubah menjadi planet."
Xanthanomoea munroi,Xanthanomoea munroi
Xanthanomoea munroi adolah sabuah lalek dari famili Tephritidae.,Xanthanomoea munroi adalah spesies lalat dari famili Tephritidae.
"Spesies ko juo marupokan bagian dari ordo Diptera, kelas Insecta, filum Arthropoda, dan kingdom Animalia.","Spesies ini juga merupakan bagian dari ordo Diptera, kelas Insecta, filum Arthropoda, dan kingdom Animalia."
"Kabanyakan lalek buah batalua dalam jaringan tanaman, di mano larva manamuan makanan partamonyo sangkek nyo muncua.","Kebanyakan anggota spesies ini bertelur dalam jaringan tanaman, tempat larva menemukan makanan pertamanya setelah lahir."
Lalek dewasa biasonyo barumua sangaik pendek.,Lalat dewasa biasanya berumur sangat pendek.
Babarapo hiduik salamo kurang dari saminggu.,Beberapa hidup selama kurang dari seminggu.
Curubis tetrica,Curubis tetrica
Curubis tetrica adolah sabuah spesies lawah nan tagolong dalam famili Salticidae.,Curubis tetrica adalah spesies laba-laba yang tergolong dalam famili Salticidae.
Spesies ko juo marupokan bagian dari genus Curubis dan ordo Araneae.,Spesies ini juga merupakan bagian dari genus Curubis dan ordo Araneae.
Namo ilmiah spesies ko pertamo kali ditabik'an pado taun 1902 dek Simon.,Nama ilmiah dari spesies ini pertama kali diterbitkan pada tahun 1902 oleh Simon.
Lawah iko biasonyo banyak ditamui di Sri Lanka.,Laba-laba ini biasanya banyak ditemui di Sri Lanka.
Higginsia higginissima,Higginsia higginissima
Higginsia higginissima adolah spesies spons nan tagolong dalam kelas Demospongiae.,Higginsia higginissima adalah spesies spons yang tergolong dalam kelas Demospongiae.
Spesies ko juo marupokan bagian dari genus Higginsia dan famili Heteroxyidae.,Spesies ini juga merupakan bagian dari genus Higginsia dan famili Heteroxyidae.
"Namo ilmiah spesies ko pertamo kali ditabikan pado taun 1945 dek Dickinson. Saroman spons pado umumnyo, spesies ko mamiliki tubuah nan bapori dan pamukaan nan kareh mode batu.",Nama ilmiah spesies ini pertama kali diterbitkan pada tahun 1945 oleh Dickinson.
"Salain itu, Higginsia higginissima dapek juo manyerap oksigen dari aia malalui proses difusi.","Selain itu, Higginsia higginissima juga dapat menyerap oksigen dari air melalui proses difusi."
(229809) 2008 SA164,(229809) 2008 SA164
(229809) 2008 SA164 adolah sabuah asteroid.,(229809) 2008 SA164 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Troya Yupiter, nan talatak di orbit Yupiter.","Asteroid ini merupakan bagian dari asteroid Troya Yupiter, yang terletak di orbit Yupiter."
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.026, samantaro magnitudo mutlaknyo adolah 13.1.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.026, sementara magnitudo mutlaknya adalah 13.1."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid secara keseluruhan, asteroid ini terbentuk dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula Matahari muda yang tidak cukup besar untuk berubah menjadi planet."
2007 JY2,2007 JY2
2007 JY2 adolah sabuah asteroid.,2007 JY2 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Apollo, nan talatak dakek jo Bumi.","Asteroid ini merupakan bagian dari asteroid Apollo, yang terletak dekat dengan Bumi."
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.688, samantaro magnitudo mutlaknyo adolah 21.7.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.688, sementara magnitudo mutlaknya adalah 21.7."
Pambantuakan.,Pembentukan.
"Sarupo asteroid sacaro kasaluruahan, asteroid ko tabantuak dari nebula matoari primordial sabagai pacahan planetesimal, sasuatu di nebula Matoari mudo nan indak cukuik gadang untuak barubah manjadi planet.","Seperti asteroid pada umumnya, asteroid ini terbentuk dari nebula matahari primordial sebagai pecahan planetisimal, sesuatu di nebula matahari muda yang tidak cukup besar untuk berubah menjadi planet."
Bianor hongkong,Bianor hongkong
Bianor hongkong adolah sabuah spesies lawah nan tagolong dalam famili Salticidae.,Bianor hongkong adalah spesies laba-laba yang tergolong dalam famili Salticidae.
Spesies ko juo marupokan bagian dari genus Bianor dan ordo Araneae.,Spesies ini juga merupakan bagian dari genus Bianor dan ordo Araneae.
Namo ilmiah spesies ko pertamo kali ditabik'an pado taun 1997 dek Song et al.,Nama ilmiah dari spesies ini pertama kali diterbitkan pada tahun 1997 oleh Song et al.
Lawah iko biasonyo banyak ditamui di Hong Kong.,Laba-laba ini biasanya banyak ditemui di Hong Kong.
(277830) 2006 HR29,(277830) 2006 HR29
(277830) 2006 HR29 adolah sabuah asteroid.,(277830) 2006 HR29 adalah sebuah asteroid.
"Asteroid ko marupokan bagian dari asteroid Aten, nan talatak dakek jo Bumi.","Asteroid ini merupakan bagian dari asteroid Aten, yang terletak dekat dengan Bumi."
"Eksentrisitas orbit asteroid ko tacatat sagadang 0.263, samantaro magnitudo mutlaknyo adolah 20.7.","Eksentrisitas orbit asteroid ini tercatat sebesar 0.263, sementara magnitudo mutlaknya adalah 20.7."
Pambantuakan.,Pembentukan.
