sundanese,indonesian
"Aya tilu tipe kareta dina jalur: ti panggancangna nepi ka panglaunna, nyaeta"" Nozomi"", ""Hikari"", jeung ""Kodama"".","Ada tiga jenis layanan pada jalur ini: ""Nozomi"", ""Hikari"", dan ""Kodama""."
Populasi statistik,Populasi (statistika)
Daun,Daun
Anatomi.,Anatomi.
Mocca (grup musik),Mocca (grup musik)
"Dua taun kahareupna, Arina jeung Riko papanggih jeung Indra katut Toma, terus duanana asup ka Mocca.",Dua tahun kemudian mereka bertemu dengan Indra dan Toma.
Transnistria,Transnistria
"Transnistria, disebut ogé Transdniestria atawa Trans-Dniester (basa Rusia: Приднестровье, ""Pridn'estrov'ye""; basa Romania: ""Transnistria""), mangrupakeun hiji éntitas politik nu misah ti Moldova.","Transnistria, juga disebut Transdniestria atau Trans-Dniester (bahasa Rusia: Приднестровье, ""Pridn'estrov'ye""; bahasa Rumania: ""Transnistria""), adalah sebuah entitas politik yang memisahkan diri dari Moldova."
Transnistria aya di antara Moldova jeung Ukraina di Éropa Wétan.,Transnistria terletak di antara Moldova dan Ukraina di Eropa Timur.
"Ngaran ""Transnistria"" kainspirasi ti lokasina di beulah wétan walungan Dniester (Nistru). Status politik.","Nama ""Transnistria"" terinspirasi dari letaknya di sebelah timur sungai Dniester (Nistru). Status politik."
"Dunya internasional nempo wewengkon Transnistria salaku bagian ti Moldova, nu baheulana mangrupakeun bagian ti SSR Moldavia.","Dunia internasional memandang wilayah Transnistria sebagai bagian dari Moldova, yang dahulunya merupakan bagian dari SSR Moldavia."
"Dina taun 1990, Transnistria mroklamasikeun kamerdékaanna kalawan ngaran resmi Pridnestrovskaia Moldavskaia Respublika, jeung Tiraspol salaku ibu kota.","Pada tahun 1990, Transnistria memproklamasikan kemerdekaannya dengan nama resmi Pridnestrovskaia Moldavskaia Respublika, dengan Tiraspol sebagai ibu kota."
Wikimedia Commons,Wikimedia Commons
"Wikimedia Commons (ogé katelah ""Commons"" atawa ""Wikicommons"") mangrupakeun salahsahiji proyék Yayasan Wikimédia nu tujuanana salaku gudang koropak gambar, sora, sarta multimédia eusi bébas.","Wikimedia Commons (juga disebut ""Commons"" atau ""Wikicommons"") adalah tempat penyimpanan gambar-gambar dan berkas-berkas multimedia berlisensi bebas."
Proyék ieu diajukeun Maret 2004 sarta medal 7 Séptémber 2004.,Berkas-berkas yang dimuat dapat digunakan seperti halnya berkas-berkas yang dimuat pada masing-masing proyek. Proyek ini diusulkan pada bulan Maret 2004 dan diluncurkan pada 7 September 2004.
"Lisénsi nu ditampa di antarana GNU Free Documentation License, Creative Commons, sarta domain publik.","Lisensi yang diterima adalah GNU Free Documentation License, lisensi Creative Commons dengan tanpa batasan penggunaan dan domain umum."
Kota Bandung,Kota Bandung
Katus,Kaktus
Getih,Darah
Jaladri,Samudra
"Jaladri atawa samudra (tina Basa Sangsakerta) nyaeta sagara nu lega tur mangrupakeun massa cai asin nu nararumbu ngawengku sakabeh pabeungeutan bumi, diwawatesan ku buana atawa kapuloan gede.",Samudra (juga dieja samudera) atau lautan (dari bahasa Sanskerta) adalah laut yang luas dan merupakan massa air asin yang sambung-menyambung meliputi permukaan bumi yang dibatasi oleh benua ataupun kepulauan yang besar.
"Samudra ngawengku 71% pabeungeutan bumi, kalayan legana kira-kira 361 juta kilometer pasagi, eusina kurang leuwih 1.370 yuta km³, kalayan jero raratana 3.790 meter.","Ada lima samudra di bumi yaitu: Samudra meliputi 71% permukaan bumi, dengan area sekitar 361 juta kilometer persegi, isi samudra sekitar 1.370 juta km³, dengan kedalaman rata-rata 3.790 meter."
"(Itungan ieu henteu kaasup sagara nu teu numbu ka samudra, siga Laut Kaspia).","(Perhitungan tersebut tidak termasuk laut yang tak berhubungan dengan samudra, seperti Laut Kaspia)."
"Bagian nu leuwih leutik ti samudra nyaeta sagara, selat, jeung teluk.","Bagian yang lebih kecil dari samudra adalah laut, selat, teluk."
Asmirandah,Asmirandah
Bebegig,Orang-orangan sawah
Institut Teknologi Bandung,Institut Teknologi Bandung
"Fasilitas anu aya di kampus di antarana toko buku, kantor pos, kantin, sarta klinik. Sajaba rohangan kuliah, laboratorium, béngkél sarta studio, ITB boga hiji galeri seni nyaéta Galeri Soemardja, fasilitas olah raga, sarta hiji ""Campus Center"".","Fasilitas yang tersedia di kampus di antaranya toko buku, kantor pos, kantin, bank, dan klinik. Selain ruangan kuliah, laboratorium, bengkel dan studio, ITB memiliki sebuah galeri seni yaitu Galeri Soemardja, fasilitas olah raga, dan sebuah Campus Center."
Di deukeut kampus ogé aya Masjid Salman pikeun ngalakonan ibadah sarta aktivitas kaagamaan umat Islam di ITB.,Di dekat kampus juga terdapat Masjid Salman untuk beribadah dan aktivitas keagamaan umat Islam di ITB.
"Pikeun ngarojong palaksanaan aktivitas akademik sarta risét, aya fasilitas-fasilitas nu ngarojong akademik, dintaranya Pabukon Pusat (kalayan koléksi kira 150.000 buku sarta 1000 judul jurnal), Sarana Olah Raga Sasana Budaya Ganesha, ""Pusat Bahasa"", puseur layanan komputer (Comlabs) sarta Observatorium Bosscha (salasahiji fasilitas ti Paguyuban Kaahlian Astronomi FMIPA), anu perenahna 11 kilométer ka kalér. Réktor ITB ayeuna nyaéta Prof. Djoko Santoso (hasil pamilihan dina bulan Désémber 2004 - Januari 2005) pikeun période 2005-2010.","Untuk mendukung pelaksanaan aktivitas akademik dan riset, terdapat fasilitas-fasilitas pendukung akademik, di antaranya Perpustakaan Pusat (dengan koleksi sekira 150.000 buku dan 1000 judul jurnal), Sarana Olah Raga Sasana Budaya Ganesha, Pusat Bahasa, Pusat layanan komputer (ComLabs) dan Observatorium Bosscha (salah satu fasilitas dari Kelompok Keahlian Astronomi FMIPA), terletak 11 kilometer di sebelah utara Bandung. Rektor ITB saat ini adalah Prof. Akhmaloka, Dipl.Biotech., Ph.D. untuk periode 2010-2014."
Sajarah.,Sejarah.
"Saterusna dina mangsa kamerdakaan Indonésia, taun 1945, ngaranna dirobah jadi ""Sekolah Tinggi Téknik (STT) Bandung"".","Kemudian pada masa kemerdekaan Indonesia, tahun 1945, namanya diubah menjadi ""Sekolah Tinggi Teknik (STT) Bandung""."
"Dina taun 1946, STT Bandung dipindahkeun ka Yogyakarta sarta jadi cikal bakal lahirna Universitas Gajah Mada.","Pada tahun 1946, STT Bandung dipindahkan ke Yogyakarta dan menjadi cikal bakal lahirnya Fakultas Teknik Universitas Gadjah Mada."
"Dina tanggal 21 Juni 1946, NICA ngadegkeun Universiteit Van Indonesie jeung Faculteit van Technische Wetenschap minangka gaganti STT Bandung.","Pada tanggal 21 Juni 1946, NICA mendirikan Universiteit van Indonesie dengan Faculteit van Technische Wetenschap sebagai pengganti STT Bandung di lokasi Kampus THS dulu."
"Sarta dina 6 Oktober 1947, Faculteit van Exacte Wetenschap ngadeg.","Dan pada 6 Oktober 1947, Faculteit van Exacte Wetenschap berdiri."
Ieu saterusna jadi Fakultas Téknik sarta Fakultas Élmu Pasti sarta Élmu Alam Universitas Indonésia.,Ini kemudian menjadi Fakultas Teknik dan Fakultas Ilmu Pasti dan Ilmu Alam Universitas Indonesia sejak 2 Februari 1950.
"Saterusna dina tanggal 2 Maret 1959, Fakultas Téknik sarta Fakultas Élmu Pasti sarta Élmu Alam sacara resmi misahkeun diri jadi Institut Téknologi Bandung (ITB).","Kemudian pada tanggal 2 Maret 1959, Fakultas Teknik dan Fakultas Ilmu Pasti dan Ilmu Alam secara resmi memisahkan diri menjadi Institut Teknologi Bandung (ITB)."
"Mahasiswa nampik BKK, sarta tetep ngayakeun pamilihan Pupuhu DM.","Mahasiswa menolak dengan keras BKK, dan tetap mengadakan pemilihan Ketua DeMa (Dewan Mahasiswa)."
Balukarna euweuh anu daék jadi Pupuhu DM.,Akibatnya tidak ada yang bersedia menjadi Ketua DeMa.
Ahirna mahasiswa ITB mutuskeun pikeun ngabubarkeun Déwan Mahasiswa sarta ngabekukeun KM ITB.,Akhirnya mahasiswa ITB memutuskan membubarkan Dewan Mahasiswa dan membekukan DeMa ITB.
Saterusna diadegkeun Awak Koordinasi (BAKOR) pikeun ngoordinasikeun pergerakan.,Kemudian didirikan Badan Koordinasi (BAKOR) untuk mengkoordinasikan pergerakan.
"Samentara cita-cita KM ITB diamanatkeun ka Himpunan-himpunan minangka kantong-kantong gerakan, kalawan konsekuensi, kaderisasi aya di tingkat himpunan.","Sementara cita-cita DeMa diamanatkan kepada Himpunan-Himpunan sebagai kantung-kantung gerakan, dengan konsekuensi, kaderisasi ada di tingkat himpunan."
Quraisy,Surah Quraisy
Surah Quraisy nyaéta surat ka-106 dina Al Qur'an.,"Surah Quraisy (bahasa Arab:قُرَيْشٍ, ""Bani Quraisy"") adalah surah ke-106 dalam al-Qur'an."
Surat ieu diwangun ku 4 ayat sarta kagolongkeun kana surat makiyyah.,Surah ini terdiri atas 4 ayat dan tergolong surah Makkiyah.
Kecap Quraisy sorangan nujul ka kaum Quraisy nyaéta kaum (suku) anu meunang kapercayaan ngajaga Ka'bah.,Kata Quraisy sendiri merujuk pada kaum Quraisy yakni kaum(suku) yang mendapat kepercayaan menjaga Ka'bah.
Poko eusina surat ieu ngajelaskeun kahirupan urang Quraisy sarta kawajiban anu sakuduna dilakonan ku maranéhanana.,Pokok isinya surat ini menerangkan kehidupan orang Quraisy serta kewajiban yang seharusnya mereka penuhi.
Donita,Donita
Selat Hormuz,Selat Hormuz
Upacara panjang jimat,Upacara panjang jimat
Naruto Shippuden,Naruto Shippuden
"Naruto Shippuden atawa Naruto II nyaeta plot ti seri manga Naruto,nitikberatkeun dina petualangan Uzumaki Naruto sarta Haruno Sakura sarta misi panéangan Uchiha Sasuke sanggeus manéhna ninggalkeun Konohagakure.","Naruto Shippuden atau Naruto II adalah plot dari seri manga Naruto, menitikberatkan pada petualangan Uzumaki Naruto dan Haruno Sakura dan misi pencarian Uchiha Sasuke setelah ia meninggalkan Konohagakure."
"Dina plot ke-2 ieu, pergerakan organisasi Akatsuki beuki kasampak.","Pada plot ke-2 ini, pergerakan organisasi Akatsuki semakin terlihat."
"Awalna, Naruto sarta Sakura kawalahan nyanghareupan Kakashi anu pohara kuat sarta gancang, sarta ditambah deui Kakashi maké Sharingan.","Awalnya, Naruto dan Sakura kewalahan menghadapi Kakashi yang sangat kuat dan cepat, dan ditambah lagi Kakashi memakai Sharingan."
Tapi kaayaan éta lekasan sabot Naruto junun ngalakonan hiji hal dina Kakashi sarta pamustunganana nyieun maranéhanana duaan lulus ujian éta sakali deui.,Namun keadaan itu berakhir ketika Naruto berhasil melakukan sesuatu pada Kakashi dan akhirnya membuat mereka berdua lulus pada ujian itu sekali lagi.
"Sanggeus éta, Naruto sarta kawan-kawannya dibéré misi kelas S pikeun nulungan Gaara, sang Kazekage, ti leungeun organisasi misterius ngaranna Akatsuki.","Setelah itu, Naruto dan kawan-kawannya diberi misi kelas S untuk menolong Gaara, sang Kazekage sekaligus sahabat Naruto, dari tangan organisasi misterius bernama Akatsuki."
"Tim 7 tuluy ngudag Akatsuki, dibaturan Chiyo, saurang wanoja kolot anu misterius.","Tim 7 lalu mengejar Akatsuki, ditemani nenek Chiyo, seorang wanita tua yang misterius."
Deidara tuluy mawa Gaara anu teu berdaya pikeun dicokot Bijuu di jero awakna.,Deidara lalu membawa Gaara yang tak berdaya untuk diambil Bijuu di dalam tubuhnya.
Tim 7 dibantuan tim 9 lulugu Guru Gai mendobrak asup panyumputan Akatsuki sarta ngalawan maranéhanana.,Tim 7 dibantu Tim 9 pimpinan Guru Gai mendobrak masuk persembunyian Akatsuki dan melawan mereka.
Sasori anu mangrupa incu ti Chiyo kalayan gumbira ngalawan ninina.,Kakashi dan Naruto mengejar Deidara. Sasori dengan senang hati melawan neneknya.
"Chiyo sarta Sakura tuluy melancarkan serangan gabungan ka Sasori, sarta ngancurkeun hiruko luar awakna anu tétéla boneka ngaranna Hiruko.","Nenek Chiyo dan Sakura melancarkan serangan gabungan ke Sasori, dan menghancurkan hiruko luar tubuhnya yang ternyata boneka bernama Hiruko."
"Awak pituin Sasori, anu masih mangrupa barudak biarpun geus leuwih ti 20 warsih ninggalkeun Suna geus dirobah sakumnana jadi boneka.","Tubuh asli Sasori, yang masih berupa anak-anak biarpun sudah lebih dari 20 tahun meninggalkan Suna sudah diubah seluruhnya menjadi boneka."
Ngan bagian jantungnya waé anu masih manusa.,Hanya bagian jantungnya saja yang masih manusia.
Pertarungan sengit henteu bisa dihindari sabot Sasori ngagero boneka Kazekage katilu.,Pertarungan sengit tidak bisa dihindari ketika Sasori memanggil boneka Kazekage ketiga.
"Kalayan pangabisana, Sasori ampir waé ngéléhkeun Chiyo sarta Sakura.","Dengan kemampuannya, Sasori hampir saja mengalahkan nenek Chiyo dan Sakura."
"Naruto sarta Kakashi anu ngudag Deidara, pamustunganana junun nyusul Deidara sanggeus Kakashi ngagunakeun Mangekyou Sharingan pikeun megatkeun leungeun Deidara sarta memperlambat gerakannya.","Naruto dan Kakashi yang mengejar Deidara, akhirnya berhasil menyusul Deidara setelah Kakashi menggunakan Mangekyou Sharingan untuk memutuskan tangan Deidara dan memperlambat gerakannya."
Deidara anu terdesak usaha kabur tapi sempet dipindahkeun perhatiannya sajongjonan ku Naruto.,Deidara yang terdesak berusaha kabur tetapi sempat dialihkan perhatiannya sesaat oleh Naruto.
Deidara anu nyumput junun kapanggih ku tim 9 sarta diserang.,Deidara yang bersembunyi berhasil ditemukan oleh tim 9 dan diserang.
"Terdesak, Deidara ngaluarkeun jutsu peledakkan diri pikeun nutupan dirina anu kabur liwat handap taneuh.","Terdesak, Deidara mengeluarkan jutsu peledakkan diri untuk menutupi dirinya yang kabur lewat bawah tanah."
Naruto sarta parakanca tuluy nyokot awak Gaara anu geus mati.,Naruto dan kawan-kawan lalu mengambil tubuh Gaara yang sudah mati.
Chiyo tergugah nempo Naruto ngorbankeun nyawana pikeun nyalametkeun Garra sarta nukeur nyawana unutk ngahirupkeun balik Gaara.,Nenek Chiyo tergugah melihat Naruto mengorbankan nyawanya untuk menyelamatkan Garra dan menukar nyawanya untuk menghidupkan kembali Gaara.
"Ninja Konoha balik ka désa sanggeus berpamitan kalayan sang Kazekage, Gaara.","Ninja Konoha kembali ke desa setelah berpamitan dengan sang Kazekage, Gaara rei ."
"Manéhna tuluy digantikeun ku Yamato, saurang ANBU anu kungsi jadi junior Kakashi di mangsa katukang.","Dia lalu digantikan oleh Yamato, seorang ANBU yang pernah menjadi junior Kakashi di masa lalu."
Manéhna jadi gaganti Kakashi pikeun samentara.,Dia menjadi pengganti Kakashi untuk sementara.
"Pikeun ngalengkepan tim 4 jelema, mangka ditunjuklah hiji urang deui ti ""roots"" ngaranna Sai.","Untuk melengkapi tim 4 orang, maka ditunjuklah satu orang lagi dari ""Roots"" (salah satu cabang dari ANBU yang tidak diakui lagi) bernama Sai."
"Dina awalna, Naruto sarta Sakura henteu mikaresepna alatan kabiasaan Sai anu mindeng nyarita garihal.","Pada awalnya, Naruto dan Sakura tidak menyukainya karena kebiasaan Sai yang sering berbicara kasar."
"Biarpun kitu, Sai ngan ngajalankeun prinsipnya minangka ""Roots"".","Biarpun begitu, Sai hanya menjalankan prinsipnya sebagai anggota ""Roots""."
"Alatan ketidakkompakan tim, Yamato murka sarta ngancem baris ngerem maranéhanana dina panjara kai ambéh akrab hiji sarua séjén.","Karena ketidakkompakan tim, Yamato murka dan mengancam akan mengurung mereka dalam penjara kayu agar akrab satu sama lain."
"Di dieu kasampak sisi séjén Yamato anu sadis sarta mencerminkan saurang ANBU: mengerikan, tiis sarta intimidatif.","Di sini terlihat sisi lain Yamato yang sadis dan mencerminkan seorang ANBU: Mengerikan, dingin dan intimidatif."
Biarpun kitu Yamato teu pisan-pisan boga maksud goréng.,Biarpun begitu Yamato tidaklah bermaksud buruk.
Yamato ogé dibéré paréntah pikeun mengawasi Sai ku Tsunade.,Yamato juga diberi perintah untuk mengawasi Sai oleh Tsunade.
"Merekapun tuluy indit ka Tenchikyo pikeun nepungan panon-panon Sasori, anu henteu séjén nyaéta Kabuto, ninja buronan Konohagakure.","Merekapun lalu pergi ke Tenchikyo dengan Yamato menyamar menjadi Sasori, untuk menemui mata-mata sang pengendali boneka dari Akatsuki tersebut, yang tidak lain adalah Kabuto, ninja pelarian Konohagakure."
Tétéla Kabuto ngan berpura-pura jadi panon-panon pikeun menjebak Sasori.,Ternyata Kabuto hanya berpura-pura menjadi mata-mata untuk menjebak Sasori.
Pertarungan antara tim Yamato ngalawan Kabuto sarta Orochimaru ogé teu terelakkan.,Pertarungan antara tim Yamato melawan Kabuto dan Orochimaru pun tak terelakkan.
Naruto anu teu terkendali tuluy ngalaan chakra Kyuubi dina jumlah badag ku kituna manéhna robah ka wangun Kyuubi buntut opat.,Naruto yang tak terkendali lalu melepaskan chakra Kyuubi dalam jumlah besar sehingga ia berubah ke bentuk Kyuubi ekor empat.
Manéhna mimitian ngancurkeun wewengkon sakurilingna kalayan serangan-serangan dahsyat tanpa ngabédakeun kawan atawa lawan.,Dia mulai menghancurkan wilayah sekitarnya dengan serangan-serangan dahsyat tanpa membedakan kawan ataupun lawan.
"Untungna, Orochimaru tetep leupas sarta mawa lumpat diri samentara Yamato kalayan jurus elemen kai (anu sarua kalayan jurus Hokage kahiji) menyegel sarta mulangkeun awak Naruto ka wangun mimitina.",Orochimaru tetap lolos dan melarikan diri sementara Yamato dengan jurus elemen kayu (yang sama dengan jurus Hokage pertama) menyegel dan mengembalikan tubuh Naruto ke bentuk semula.
Naruto ngarasa boga salah alatan melukai Sakura dina wujud Kyuubi buntut opat.,Naruto merasa bersalah karena melukai Sakura dalam wujud Kyuubi ekor empat.
Pamustunganana Naruto junun nepi ka ka panyumputan Orochimaru.,Akhirnya Naruto berhasil sampai ke persembunyian Orochimaru.
Tétéla Sai ngabogaan misi pikeun maéhan Sasuke.,Ternyata Sai memiliki misi untuk membunuh Sasuke.
Tapi manéhna urung alatan nempo kanyaan Naruto dina néangan Sasuke.,Tetapi dia mengabaikan misi tersebut karena melihat kesungguhan Naruto dalam mencari Sasuke.
"Tétéla Sasuke kalahka bersikap tiis sarta daék waé dimangpaatkeun Orochimaru asalkan bisa ngabales dendam ka Itachi Uchiha, lanceukna anu geus membantai klan Uchiha saurang diri.","Ternyata Sasuke malah bersikap dingin dan mau saja dimanfaatkan Orochimaru asalkan bisa membalas dendam kepada Itachi Uchiha, kakaknya yang telah membantai klan Uchiha seorang diri."
"Sasuke tuluy bertarung ngalawan tim Yamato, tapi dina pamustunganana mundur babarengan Orochimaru sarta Kabuto.","Sasuke lalu bertarung melawan tim Yamato, tapi pada akhirnya mundur bersama Orochimaru dan Kabuto."
Tim Yamato ogé balik ka Konoha kalayan pinuh kakuciwa.,Tim Yamato pun pulang ke Konoha dengan penuh kekecewaan.
Kakashi tuluy ngajarkeun cara memanipulasi chakra bogana.,Kakashi lalu mengajarkan cara memanipulasi chakra miliknya.
"Manéhna ngagunakeun padika anu pohara ekstrim (Taju Kagebunshin), tapi cocog jeung kaayaan Naruto anu ayeuna.","Dia menggunakan metode yang sangat ekstrem (""Taju Kagebunshin""), tapi cocok dengan keadaan Naruto yang sekarang."
"Pertama-tama manéhna kudu bisa motong daun kalayan chakra, tuluy motong cai terjun, sarta pamungkas manéhna kudu nyampurnakeun rasengan kalayan ngasupkeun chakra angin ka dina Rasengan kasebut.","Pertama-tama dia harus bisa memotong daun dengan chakra, lalu memotong air terjun, dan terakhir dia harus menyempurnakan rasengan dengan memasukkan chakra angin ke dalam Rasengan tersebut."
"Samentara éta, Tsunade maréntahkeun panéangan anggota Akatsuki anu ngasupan Konoha.","Sementara itu, Tsunade menginstruksikan pencarian anggota Akatsuki yang memasuki Konoha."
"Asuma, Shikamaru, Izumo sarta Kotetsu (2 Jonin anu mantuan Asuma sarta Shikamaru) papanggih jeung Hidan sarta Kakuzu.","Asuma, Shikamaru, Izumo dan Kotetsu (2 Jonin yang membantu Asuma dan Shikamaru) bertemu dengan Hidan dan Kakuzu."
Maranéhanana tuluy bentrok kalayan séwang-séwangan.,Mereka lalu bentrok dengan masing-masing.
Tétéla Hidan ngabogaan awak ahéng anu bisa diitung henteu bisa mati.,Ternyata Hidan memiliki tubuh aneh yang bisa dibilang tidak bisa mati.
"Sanajan sirahna geus terpotong, tetep waé masih hirup.","Walaupun kepalanya sudah terpotong, tetap saja masih hidup."
"Asuma ogé tatu parna kakeunaan jurus Hidan, nyaéta kabéh tatu anu diderita Hidan, sakumnana baris ngeunaan jelema anu getihna geus dipakéna pikeun jurus kutukan bogana.","Asuma pun terluka parah terkena jurus Hidan, yaitu semua luka yang diderita Hidan, seluruhnya akan mengenai orang yang darahnya telah digunakannya untuk jurus kutukan miliknya."
Asuma ogé ampir mati kakeunaan jutsu ieu.,Asuma pun nyaris mati terkena jutsu ini.
"Boga untung Choji sarta Ino datang mantuan, tapi kabéhanana geus telat, sarta Asuma ménta dinyalakan roko pamungkas pikeunana ku Shikamaru.","Beruntung Choji dan Ino datang membantu, tetapi semuanya sudah terlambat, dan Asuma meminta dinyalakan rokok terakhir untuknya oleh Shikamaru."
Shikamaru kalayan pinuh haru menyalakan roko disungut Asuma pikeun pamungkas kalina bari ceurik di tengah hujan.,Shikamaru dengan penuh haru menyalakan rokok dimulut Asuma untuk terakhir kalinya sambil menangis di tengah hujan.
"Di luar sangkaan, Kakashi milu mantuan tim Shikamaru néangan sarta ngancurkeun dua anggota Akatsuki kasebut.","Di luar dugaan, Kakashi ikut membantu tim Shikamaru mencari dan menghancurkan dua anggota Akatsuki tersebut."
Maranéhanana tuluy papanggih di deukeut leuweung milik kulawarga Nara.,Mereka lalu bertemu di dekat hutan milik keluarga Nara.
"Shikamaru nguseup Hidan bertarung hiji lawan hiji kalayanana, samentara Kakashi, Choji sarta Ino ngalawan Kakuzu.","Shikamaru memancing Hidan bertarung satu lawan satu dengannya, sementara Kakashi, Choji dan Ino melawan Kakuzu."
"Shikamaru junun menjebak Hidan sarta ngancurkeun awakna, tuluy ngaruangna kadina liang badag anu geus disiapkeun.","Shikamaru berhasil menjebak Hidan dan menghancurkan tubuhnya, lalu menguburnya kedalam lubang besar yang sudah disiapkan."
Shikamaru tuluy ngomong yén manéhna ngan percaya dina Tekad Seuneu Konoha.,Shikamaru lalu mengatakan bahwa dia hanya percaya pada Tekad Api Konoha.
"Kakashi anu ngalawan Kakuzu, junun ngancurkeun 2 ti 5 ""jantung"" milik Kakuzu.","Kakashi yang melawan Kakuzu, berhasil menghancurkan 2 dari 5 ""jantung"" milik Kakuzu."
"Sabot kaayaan ampir gawat, Naruto, Yamato, Sakura sarta Sai datang mantuan.","Ketika keadaan hampir gawat, Naruto, Yamato, Sakura dan Sai datang membantu."
"Sai sarta Sakura diperintahkan pikeun mantuan Shikamaru, sedengkeun Yamato sarta Naruto mantuan Kakashi dkk.","Sai dan Sakura diperintahkan untuk membantu Shikamaru, sedangkan Yamato dan Naruto membantu Kakashi dkk."
Naruto anu hayang ngabuktikeun yén manéhna geus robah sarta jadi leuwih dewasa sarta alus ménta ka anu séjénna pikeun henteu milu campur sabot manéhna baris bertarung jeung Kakuzu.,Naruto yang ingin membuktikan bahwa dia telah berubah dan menjadi lebih dewasa dan baik meminta kepada yang lainnya untuk tidak ikut campur ketika dia akan bertarung dengan Kakuzu.
"Kakashi ngomong, lamun manéhna henteu junun ngéléhkeun Kakuzu, mangka manéhna masih tetep ninja berisik kawas tiheula.","Kakashi mengatakan, jika dia tidak berhasil mengalahkan Kakuzu, maka dia masih tetap ninja berisik seperti dulu."
"Naruto tuluy ngaluarkeun jutsu andalannya anu anyar dipelajari, Fuuton: Rasenshuriken.","Naruto lalu mengeluarkan jutsu andalannya yang baru dipelajari, Fuuton : Rasenshuriken."
Kakuzu pamustunganana junun diéléhkeun sanggeus ledakan dramatis alatan jurus Rasenshuriken anu ngeunaan udaganana.,"Kakuzu akhirnya berhasil dikalahkan setelah ledakan dramatis akibat jurus Rasenshuriken yang mengenai targetnya. mereka semua lalu pulang ke Konoha, menunggu misi selanjutnya sambil menjalani kehidupan seperti biasa."
Orochimaru ngomong Sasuke masih ngabogaan belas watir alatan henteu maéhan para ninja-ninja kasebut.,Orochimaru berkata Sasuke masih memiliki belas kasihan karena tidak membunuh para ninja-ninja tersebut.
Tapi Sasuke kalayan tenang nanggepan kecap-kecap orochimaru kalayan ngomong yén ninja-ninja kasebut lain anu hayang manéhna bunuh. sarta sanggeus éta dimoncorong balik ka Naruto sarta Sakura keur berbincang-bincang di Ichiraku Ramen.,Namun Sasuke dengan tenang menanggapi kata-kata orochimaru dengan berkata bahwa ninja-ninja tersebut bukan yang ingin dia bunuh. dan setelah itu disorot kembali ke Naruto dan Sakura sedang berbincang-bincang di Ichiraku Ramen.
Naruto ngalaman saeutik tatu leungeun alatan maké Rasenshuriken. tuluy maranéhanana duaan mengenang mangsa katukang.,"Naruto mengalami sedikit cedera tangan akibat memakai ""Rasenshuriken"". lalu mereka berdua mengenang masa lalu."
