javanese,indonesian
Mukaddimah Terjemahan Al Quran versi Depag RI,Mukaddimah Terjemahan Al Qur'an versi Depag RI
Basuki Rahmat,Basuki Rahmat
Jendral Basuki Rahmat  inggih punika salah satunggalipun jendral lan politikus Indonesia.,Basuki Rahmat () adalah Jenderal Indonesia dan menjadi saksi penandatanganan Supersemar dokumen serah terima kekuasaan dari Presiden Soekarno kepada Jenderal Soeharto.
Kapundut.,Kematian.
Universitas Cenderawasih,Universitas Cenderawasih
"Universitas Cenderawasih, dicekak Uncen, iku perguruan tinggi negeri ing Jayapura, Indonesia, sing madeg wiwit 10 November 1962.","Universitas Cenderawasih, disingkat Uncen, adalah perguruan tinggi negeri di Jayapura, Indonesia, yang berdiri pada 10 November 1962."
"Rektor ing taun 2006 yaiku Prof. Dr. Balthasar Kambuaya, MBA.","Rektor pada tahun 2006 adalah Prof. Dr. Balthasar Kambuaya, MBA."
Daftar Pembantu Rektor dan Dekan periode 2009 2013.,Daftar Pembantu Rektor dan Dekan periode 2009-2013.
V. FAKULTAS EKONOMI VI.,V. FAKULTAS EKONOMI VI.
FAKULTAS MIPA VII.,FAKULTAS MIPA VII.
FAKULTAS FKM VIII.,FAKULTAS FKM VIII.
FAKULTAS KEDOKTERAN,FAKULTAS KEDOKTERAN
Suku Dayak Mali,Suku Dayak Mali
"Suku Dayak Mali inggih punika suku Dayak ingkang kalebet ing rumpun Klemantan Dayak Darat, ingkang papan dunungipun wonten ing Kabupaten Sanggau utaminipun ingkang dumunung ing sedaya Kecamatan Balai, Sanggau Kota Kecamatan Batang Tarang, Kalimantan Barat.","Suku Dayak Mali adalah suku Dayak yang termasuk rumpun Klemantan Dayak Darat terdapat di Kabupaten Sanggau terutama mendiami seluruh Kecamatan Balai, Sanggau (Kota Kecamatan Batang Tarang), Kalimantan Barat."
Suku Dayak Mali.,Suku Dayak Mali.
"Suku Dayak Mali kaperang ing maneka sub suku, kados katrangan ing ngandhap punika Agama.",Suku Dayak Mali terbagi dalam beberapa sub-suku sebagai berikut: Agama.
"Suku Dayak Mali saperangan ageng minangka panganut agama Kristen Katolik lan saperangan Kristen Protestan, dene ingkang agama Islam meh boten wonten .","Suku Dayak Mali sebagian besar beragama Kristen Katolik dan sebagian Kristen Protestan, sedangkan yang beragama Islam hampir tidak ada ."
Kathahipun tiyang Dayak ingkang kagungan agama Islam amargi palakrama kaliyan Suku Melayu.,Kebanyakan orang Dayak yang memeluk agama Islam karena perkawinan dengan Suku Melayu.
"Wonten ing Agama Islam ugi ngaramaken babi, dene suku Dayak, babi minangka kewan ingkang wigati sanget wonten ing sedaya aspek pagesangan adat Dayak.","Dalam Agama Islam juga mengharamkan babi sedangkan suku Dayak, babi merupakan binatang yang sangat penting dalam segala aspek kehidupan dalam adat Dayak."
Ananging wonten saperangan Dayak mali ngaku bilih piyambakipun kanthi umum minangka agama nenek moyang inggih punika dinamisme utawi animisme.,Tetapi ada sebagian Dayak mali mengakui diri secara umum dengan agama nenek moyang yaitu dinamisme atau animisme.
Ananging kanthi umum ngaku bilih piyambakipun ugi agama Kristen Katolik lan Protestan.,Namun secara umum mengaku diri juga beragama Kristen Katolik dan Protestan.
Agama Islam mesthi gegayutan kaliyan suku Melayu dene tiyang Dayak mesthi nyebut piyambakipun minangka tiyang Darat Kristiani.,Agama Islam selalu menyangkut atau berhubungan dengan suku Melayu sedangkan Dayak selalu menyebut diri sebagai orang Darat Kristiani.
"Menawi tiyang Dayak mlebet Islam, bakal dipunsebut mlebet Melayu.","Apabila orang Dayak masuk Islam maka akan di sebut masuk Melayu, Demikian juga sebaliknya dengan orang Melayu yang masuk kristen maka akan di sebut masuk Darat Dayak."
Mekaten ugi kosok wangsulipun kaliyan tiyang melayu ingkang mlebet Kristen badhe dipunsebut mlebet Darat Dayak.,"Apabila orang Dayak masuk Islam maka akan di sebut masuk Melayu, Demikian juga sebaliknya dengan orang Melayu yang masuk kristen maka akan di sebut masuk Darat Dayak."
Strata sosial.,Strata sosial.
Suku Dayak Mali ngurmati sanget kaliyan demang kepala adat ingkang minangka panguwasa paling inggil ing adat.,Suku Dayak Mali sangat menghormati demang (kepala adat) yang merupakan kekuasaan tertinggi dalam adat.
Kepala Adat dados pangayom tumrap sedaya aspek pagesangan masyarakat.,Kepala Adat menjadi pengayom atas seluruh aspek kehidupan bermasyarakat.
Adat istiadat ugi dipuntengenaken kanthi adil tumrap masyarakat adat ingkang wonten.,Adat istiadat juga ditegakkan dengan sangat adil bagi masyarakat adat yang ada.
"Dene, wonten pemuka adat sanes ingkang dipunwastani panglima perang ingkang namung nguwaosi nalika kahanan gawat kemawon lan ugi minangka pendamai ing salebeting masyarakat adat.","Sementara itu, ada pemuka adat lain yang disebut panglima perang yang hanya berkuasa pada saat genting saja dan juga sebagai peredam/pendamai dalam masyarakat adat."
Bolah,Benang
"Bolah basa Indonesia:Benang iku sawijine serat kang dawa, dipigunakake kanggo nggawe kain, kanggo njait, crochering, knitting utawa rajutan, kanggo nenun, lan nggawe tali.","Benang adalah sebuah serat yang panjang, digunakan untuk pemroduksian tekstil, penjahitan, ""crocheting"", ""knitting"", penenunan, dan pembuatan tambang."
Bolah digawe saka fiber sintetik utawa bahan kang alami.,Benang dapat dibuat dari banyak fiber sintetik atau alami.
"Bolah digawe saka warni warni fiber alami kayata wol, alpaca, wol Angora, katun, sutra, pring, hemp, lan soy.","Benang dapat dibuat dari beragam fiber alami seperti wol, alpaca, wol Angora, katun, sutra, bambu, ""hemp"", dan ""soy""."
"Bolah ana uga kang digawe saka wulu onta, yak, possum, kucing, kirik, asu alas, kelinci, kebo, lan wulu kalkun.","Benang yang kurang umum termasuk dibuat dari onta, yak, ""possum"", kucing, anjing, serigala, kelinci, kerbau, dan bahkan bulu ayam kalkun."
Bolah kang didol biyasane digawe saka fiber sintetik utawa campuran saka fiber sintetik utawa alami..,Benang komersial lebih sering dibuat dari fiber sintetik atau sebuah kombinasi dari fiber sintetik dan alami.
Basa Italia,Bahasa Italia
"Italik Roman Italo Kulon Italo Dalmasia Basa Italia ! colspan=2 bgcolor=lawngreen style=color:}|Status resmi ! colspan=2 bgcolor=lawngreen style=color:}|Kodhe basa Basa Italia kuwi sajinis basa Roman sing dianggo dening watara 70 yuta wong, mayoritas ing Italia.","Bahasa Italia adalah sejenis bahasa Roman yang dituturkan oleh sekitar 70 juta orang, mayoritas di Italia."
Basa Italia Standar yakuwi miturut dhialek Toscana lan sawijining campuran basa basa ing Italia Kidul lan basa Gallo Roman ing Lor.,Bahasa Italia Standar adalah berdasarkan dialek Toscana dan semacam campuran bahasa-bahasa di Italia Selatan dan bahasa Gallo-Roman di Utara.
"Basa Italia standar tanpa kena pangaribawa dhialek akeh dianggo ing kutha Siena, provinsi Toscana, Italia.","Bahasa Italia standar (tanpa terpengaruh dialek manapun) banyak digunakan di kota Siena, provinsi Toscana, Italia."
"Standar Toscana sing wis suwe dipigunakake wis kakikis wiwit sawetara dekade dening basa Italia sing dianggo ing Milan, pusat ekonomi Italia.","Standar Toscana yang telah lama digunakan telah mulai terkikis sejak beberapa dekade lamanya oleh bahasa Italia yang dituturkan di Milan, pusat ekonomi Italia."
"Basa Italia nduweni konsonan gandha, kaya Latin nanging beda karo basa Gallo Roman liyane, kaya basa Prancis lan basa Spanyol.","Bahasa Italia mempunyai konsonan ganda, seperti Latin (namun berbeda dari bahasa Gallo-Roman lainnya, seperti bahasa Perancis dan bahasa Spanyol)."
"Dene basa Roman liyane kajaba basa Prancis, tekanan ing pangucapan minangka ciri ciri sing wigati","Akan halnya bahasa Roman lainnya (kecuali bahasa Perancis), tekanan pada pengucapan adalah suatu ciri-ciri yang penting."
Vereenigde Oostindische Compagnie,Vereenigde Oostindische Compagnie
VOC cekakan saka Vereenigde Oostindische Compagnie iku firma Walanda sing diadegake tanggal 20 Maret 1602.,Kongsi Perdagangan Hindia Timur (Vereenigde Oostindische Compagnie atau VOC) yang didirikan pada tanggal 20 Maret 1602 adalah persekutuan dagang asal Belanda yang memiliki monopoli untuk aktivitas perdagangan di Asia.
Firma dagang iki diarani Wetan amarga uga ana VWC utawa sarekat dagang kulon.,Disebut Hindia Timur karena ada pula VWC yang merupakan persekutuan dagang untuk kawasan Hindia Barat.
Firma iki sing kapisan ngetokake saham.,Perusahaan ini dianggap sebagai perusahaan multinasional pertama di dunia sekaligus merupakan perusahaan pertama yang mengeluarkan sistem pembagian saham.
"VOC nduwe cabang cabang,kang cacahe 6 Kamers ing Amsterdam, Midlleburg khusus Zealand, Enkhuizen, Delfi, Hoorn, lan Rotterdam.","VOC memiliki enam bagian (""Kamers"") di Amsterdam, Middelburg (untuk Zeeland), Enkhuizen, Delft, Hoorn, dan Rotterdam."
"Ana ing Indonesia,VOC nduwe sebutan populer Kompeni utawa Kumpeni.",Di kalangan orang Indonesia VOC memiliki sebutan populer Kompeni atau Kumpeni.
Istilah iki dijupuk saka tembung Compagnie ing njerone jeneng jangkep perusahaan iku ing basa Walanda.,"Istilah ini diambil dari kata ""compagnie"" dalam nama lengkap perusahaan tersebut dalam bahasa Belanda."
Nanging rakyat Nuswantara luwih kenal yen Kompeni kuwi tentara Walanda merga sering gawe rakyat cilaka saka kabeh penindasan kang dilakokake.,Tetapi rakyat Nusantara lebih mengenal Kompeni sebagai tentara Belanda karena penindasannya dan pemerasan kepada rakyat Nusantara yang sama seperti tentara Belanda.
Masjid Djami Keraton Landak,Masjid Djami Keraton Landak
"Masjid Djami Keraton Landak yaiku sawijining masjid bersejarah ing Provinsi Kalimantan Barat, Indonesia, kang ana ing kompleks Keraton Landak kang posisine ana ing Ngabang, Kabupaten Landak.","Masjid Djami Keraton Landak adalah sebuah masjid bersejarah di Provinsi Kalimantan Barat, Indonesia, yang berlokasi di kompleks Keraton Landak yang terletak di Ngabang, Kabupaten Landak."
Sejarah.,Sejarah.
Sejarah masjid iki dimulai wiwit mangsa pemerintahan Panembahan Gusti Abdulazis Kusuma Akamuddin 1895 1899 utawa raja Landak kaping 21.,Sejarah masjid ini bermula sejak masa pemerintahan Panembahan Gusti Abdulazis Kusuma Akamuddin (1895-1899) atau raja Landak ke-21.
"Ing wiwitane, Masjid Djami Keraton Landak kaletak ing pinggir Kali Landak utawa ing wetan istana.","Pada awalnya, Masjid Djami Keraton Landak terletak di tepi Sungai Landak atau di timur istana."
"Banjur, beliau printah supaya masjid kang dibangun kanthi bahan utama kayu belian khas Kalimantan iki dipindahake marang sebelah ler istana.","Kemudian, beliau memerintahkan agar masjid yang dibangun dengan bahan utama kayu belian khas Kalimantan ini dipindahkan ke sebelah utara istana."
Bangunan masjid kang mpun lawas saiki mboten wonten malih.,Bangunan masjid yang lama kini sudah tidak ada lagi.
"Saprene, lokasi masjid lawas sampun dadi sawijining kompleks pondok pesantren kanggo sinau agama Islam kanggo bocah bocah ing sekitar istana.","Saat ini, lokasi masjid lama telah menjadi sebuah kompleks pondok pesantren untuk belajar agama Islam bagi anak-anak di sekitar istana."
"Mangsa iku, sak sampune masjid dipindahake marang ler, Bilal Achmad dadi Maha Sultan Imam masjid dugi mangsa pamerintahan Panembahan Gusti Abdulhamid 1922 1943 utawa Sultan Landak kaping 22.","Kala itu, setelah masjid dipindahkan ke utara istana, Bilal Achmad menjadi Maha Sultan Imam masjid sampai masa pemerintahan Panembahan Gusti Abdulhamid (1922-1943) atau Sultan Landak ke-22."
"Banjur, Bilal Achmad digantiake dening Osu Anang saka Banjor dugi Jepang nguasani Kalimantan Kulon ing tengah taun 1943.","Selanjutnya, Bilal Achmad digantikan oleh Osu Anang dari Banjor hingga Jepang berkuasa di Kalimantan Barat pada medio tahun 1943."
"Tumrap cagar budaya lan situs sejarah, masjid iki sampun ngalami renovasi kang dilakuake dening Departemen Pendidikan dan Kebudayaan ing taun 1980 an lan pemerintah daerah ing taun 2000 an.","Sebagai cagar budaya dan situs sejarah, masjid ini telah beberapa kali mengalami renovasi yang dilakukan oleh Departemen Pendidikan dan Kebudayaan pada tahun 1980-an dan pemerintah daerah pada tahun 2000-an."
Pandemi,Wabah
"Pandemi inggih punika penyakit ingkang nular saha nyebar ngelampahi populasi manungsa ing kuwasaan ing jawi, tuladhanipun benua utawi ing sedaya donya.","Wabah adalah istilah umum untuk menyebut kejadian tersebarnya penyakit pada daerah yang luas dan pada banyak orang, maupun untuk menyebut penyakit yang menyebar tersebut."
Penyakit endemik luas saha stabil ing pintne pinten tiyang ingkang greah saking boten pandemi.,Penyakit-yang-umum yang terjadi pada laju yang konstan namun cukup tinggi pada suatu populasi disebut sebagai endemik.
Kaimaman,Kitab Imamat
"Ing pirang basa Eropa, kitab iki diarani Leviticus, sing dijupuk saka basa Latin: Liber Leviticus  sakai basa Yunani: το Λενιτικόν.","Kitab Imamat adalah bagian dari kitab Taurat. Dalam beberapa bahasa di daratan Eropa, kitab ini disebut Leviticus, yang diambil dari bahasa Latin ""Liber Leviticus"" dari bahasa Yunani (το) Λευιτικόν."
"Ing basa Ibrani, kitab iki diarani  wayyikra sing tegese iku: Mula ditimbali dening panjenengan, tembung tembung pratama kitab iki.","Dalam bahasa Ibrani, kitab ketiga dari Taurat ini disebut ""wayiqra"" yang artinya adalah “Maka dipanggil-Nya/Ia memanggil” ()., Kata ""wayiqra"" adalah awal kalimat pertama dalam kitab Imamat."
Kitab iki isine undhang undhang kanggo ibadat lan upacara upacara agama bangsa Israel ing jaman mbiyen.,Kitab ini berisi peraturan-peraturan untuk ibadat dan upacara-upacara agama bangsa Israel di zaman dahulu.
"Uga kanggo kaperluwane para imam kaum Levi sing tanggung jawab karo palaksanane. Pethikan sing misuwur dhewe saka buku iki yakuwi sing kasebut dening Gusti Yesus dhawuh utama sing kapindho, Cintailah sesamamu seperti kamu mencintai dirimu sendiri 19:18.",Juga untuk para imam (kaum Lewi) yang bertanggung jawab atas pelaksanaannya.
Siena,Siena
"Siena iku sawijining kutha ing regione Toscana, Italia, sing ana ing kanthi kadhuwuran 322 m 1056 kaki.","Siena adalah sebuah kota di ""regione"" Toscana, Italia, terletak di dengan ketinggian 322 m (1056 kaki)."
Kutha iki uga arupa ibu kutha provinsi Siena.,Kota ini juga adalah ibu kota provinsi Siena.
Kutha Siena iku markas kanggo klub bal balan Siena FC.,Kota Siena ialah markas bagi klub sepak bola Siena FC.
"Siena arupa pusat wisata sing merak ati, kanthi luwih saka 1,2 yuta turis saben taun","Siena merupakan pusat wisata yang menarik, dengan lebih dari 1,2 juta turis setiap tahun"
Ogoh ogoh,Ogoh-ogoh
Ari Sihasale,Ari Sihasale
Juharson Estrella Sihasale  ing masarakat kondhang mawa jeneng Ari Sihasale utawa Ale yakuwi aktor lan musikus saka Indonesia kang isih katurunan saka Ambon.,Juharson Estrella Sihasale () atau lebih dikenal dengan nama Ari Sihasale atau Ale adalah aktor dan musikus Indonesia keturunan Ambon. Karier.
"Dheweke tau nggabung karo grup band Cool Colours, bebarengan karo Ari Wibowo, Surya Saputra, lan Johandy Yahya.","Ale pernah bergabung dengan grup vokal Cool Colours bersama Ari Wibowo, Surya Saputra dan Johandy Yahya."
"Saiki dheweke duwe omah prodhuksi Alenia Production, kang akir akir iki ngripa film kaping pisane yakuwi Denias, Senandung Di Atas Awan.","Saat ini ia mempunyai rumah produksi yang bernama Alenia Pictures bersama istrinya yang menelurkan film pertamanya yaitu ""Denias, Senandung di Atas Awan""."
Gubernur,Gubernur
"Wangun Walanda iki memper karo wangun basa Prancis sing makna harafiahe pemimpin, panguwasa, utawa sing mrentah.","Bentuk Belanda ini mirip dengan bentuk bahasa Perancis dan arti harafiahnya adalah ""pemimpin"", ""penguasa"", atau ""yang memerintah""."
Wayang Potehi,Wayang Potehi
Nis,Niš
Pesagi,Persegi
Pesagi iku wangun dhatar rong dhimensi sing dibentuk dening papat rusuk formula_1 sing padha dawane lan nduweni papat pojok sing kabeh arupa pojok siku siku.,Persegi adalah bangun datar dua dimensi yang dibentuk oleh empat buah rusuk formula_1 yang sama panjang dan memiliki empat buah sudut yang kesemuanya adalah sudut siku-siku.
Pesagi ing basa Indonesia diarani bujur sangkar. utawa persegi Rumus pesagi.,Bangun ini dahulu disebut sebagai bujur sangkar. rumus persegi.
Wangun pesagi kerep dipigunakake minangka elemen jembar jroning ngetung jembar sawijining wangun dhatar kanthi migunakake proses integral.,Bangun persegi sering digunakan sebagai elemen luas dalam menghitung luas suatu bangun datar dengan menggunakan proses integral.
Jroning ruang koordinat x lan y elemen jembar dA sing awangun pesagi dinyatakake minangka: saengga jembar sawijining wangun rong dhimensi jroning ruang kasebut bisa diitung nganggo rumus umum,"Dalam ruang koordinat ""x"" dan ""y"" elemen luas (""dA"") yang berbentuk persegi dinyatakan sebagai: sehingga luas suatu bangun dua dimensi dalam ruang tersebut dapat dihitung menggunakan sebagai suatu rumusan umum."
Surat Al Ala,Surah Al-A’la
Surat Al Ala Basa Arab:الْأعلى iku surat ka 87 jroning Al Quran.,Surah Al-A'la (Bahasa Arab:الْأعلى) adalah surat ke 87 dalam Al Qur'an.
Surat iki kagolong surat makiyyah sing dumadi saka 19 ayat.,Surat ini tergolong surat makiyyah yang terdiri atas 19 ayat.
Dijenengake Al Alaa sing maknane Sing paling dhuwur dijupuk saka tembung Al Alaa sing ana ing ayat pisanan surat iki.,"Dinamakan Al A’laa yang berarti ""Yang paling tinggi"" diambil dari perkataan Al A’laa yang terdapat pada ayat pertama surat ini."
"Muslim ngriwayatake jroning kitab Al Jumuah, lan diriwayatake uga dening Ashhaabus Sunan, saka Numan ibnu Basyir yen Rasulullah s.a.w. nalika shalat loro dina riyaya Fitri lan Adha lan shalat Jumat maca surat Al A´laa ing rakaat pisanan, lan surat Al Ghaasyiyah ing rakaat kapindho.","Muslim meriwayatkan dalam kitab Al Jumu'ah, dan diriwayatkan pula oleh Ashhaabus Sunan, dari Nu'man ibnu Basyir bahwa Rasulullah s.a.w. pada salat dua hari Raya (Fitri dan Adha) dan salat Jumat membaca surat Al A´laa pada rakaat pertama, dan surat Al Ghaasyiyah pada rakaat kedua."
Kembang Sepatu,Kembang sepatu
Kembang sepatu Hibiscus rosa sinensis L. iku tetanduran semak suku Malvaceae sing asale saka Asia Wetan lan akeh ditandur minangka tetanduran hias ing dhaerah tropis lan subtropis.,Kembang sepatu (Hibiscus rosa-sinensis L.) adalah tanaman semak suku Malvaceae yang berasal dari Asia Timur dan banyak ditanam sebagai tanaman hias di daerah tropis dan subtropis.
"Kembange gedhe, wernane abang lan ora ana ambune.","Bunga besar, berwarna merah dan tidak berbau."
"Kembang saka maneka warna kultivar lan hibrida bisa arupa kembang tunggal godhong mahkota salapis utawa kembang dhobel godhong mahkota malapis lapis sing wernane putih nganti kuning, oranye nganti abang tuwa utawa jambon.","Bunga dari berbagai kultivar dan hibrida bisa berupa bunga tunggal (daun mahkota selapis) atau bunga ganda (daun mahkota berlapis) yang berwarna putih hingga kuning, oranye hingga merah tua atau merah jambu."
Dheskripsi.,Deskripsi.
Kembang sepatu kaperang saka 5 helai godhong kelopak sing direksa dening kelopak tambahan epicalyx saengga katon kaya rong lapis kelopak kembang.,"Bunga terdiri dari 5 helai daun kelopak yang dilindungi oleh kelopak tambahan (""epicalyx"") sehingga terlihat seperti dua lapis kelopak bunga."
Makutha kembang kaperang saka 5 lembar utawa luwih yen arupa hibrida.,Mahkota bunga terdiri dari 5 lembar atau lebih jika merupakan hibrida.
Gagang putik wangun silindher dawa diklilingi gagang sari wangun oval kang tetaburan serbuk sari.,Tangkai putik berbentuk silinder panjang dikelilingi tangkai sari berbentuk oval yang bertaburan serbuk sari.
Wiji ana ing njeron woh wangun kapsul kanthi limang bilik.,Biji terdapat di dalam buah berbentuk kapsul berbilik lima.
Umume dhuwure tetanduran sekitar 2 tekan 5 meter.,Pada umumnya tinggi tanaman sekitar 2 sampai 5 meter.
Wangun godhong bunder endhog sing amba utawa bunder endhog sing ciut kanthi pucuk godhong lancip.,Daun berbentuk bulat telur yang lebar atau bulat telur yang sempit dengan ujung daun yang meruncing.
"Ing dhaerah tropis utawa ing omah kaca tetanduran ngembang setaun teras, ewadene ing dhaerah subtropis ngembang wiwit saka usum panas nganti usum gugur. Wangun kembang kaya trompet kanthi dhiameter sekitar 5 cm nganti 20 cm.","Di daerah tropis atau di rumah kaca tanaman berbunga sepanjang tahun, sedangkan di daerah subtropis berbunga mulai dari musim panas hingga musim gugur. Bunga berbentuk trompet dengan diameter bunga sekitar 6 cm. hingga 20 cm."
Putik pistillum njulur metu saka dhasar kembang.,"Putik (""pistillum"") menjulur ke luar dari dasar bunga."
"Kembang bisa mekar ngadhep munggah, mudhun, utawa ngadhep nyamping.","Bunga bisa mekar menghadap ke atas, ke bawah, atau menghadap ke samping."
"Umume, tanduran iki nduwe sifat steril lan ora ngasilake woh.","Pada umumnya, tanaman bersifat steril dan tidak menghasilkan buah."
"Tanduran iki tangkar tumangkar kanthi cara stek, cangkok, lan nempel.","Tanaman berkembang biak dengan cara stek, pencangkokan, dan penempelan."
Kagunaan.,Manfaat.
Kembang sepatu akeh didadekake tetanduran hias amarga kembange sing elok.,Kembang sepatu banyak dijadikan tanaman hias karena bunganya yang cantik.
Kembang digunaake kanggo nyemir sepatu ing India lan minangka kembang persembahan.,Bunga digunakan untuk menyemir sepatu di India dan sebagai bunga persembahan.
"Ing Tiongkok, kembang sing wernane abang digunaake minangka bahan pawarna panganan.","Di Tiongkok, bunga yang berwarna merah digunakan sebagai bahan pewarna makanan."
"Ing Indonesia, godhong lan kembang digunaake ing maneka warna pangobatan tradhisional.","Di Indonesia, daun dan bunga digunakan dalam berbagai pengobatan tradisional."
Kembang sepatu sing digaringake uga bisa diombe minangka teh.,Kembang sepatu yang dikeringkan juga diminum sebagai teh.
Cindy Fatika Sari,Cindy Fatika Sari
"Cindy Fatika Sari  yaiku model, panatacara, bintang pariwara, pemeran sinetron lan penyanyi Indonesia.","Cindy Fatika Sari () adalah model, pembawa acara, bintang iklan, pemeran sinetron dan penyanyi Indonesia dia juga pernah menjadi Vokalis band dari Gallery Band pada tahun 1998."
Deheweke iku wuragil saka 7 sadulur saka pasangan Drs. Faisal Said lan Sri Prawati.,Bungsu dari 7 bersaudara ini merupakan putra dari pasangan Drs. Faisal Said dan Sri Prawati.
Uripe ing donya musik diwiwiti nalika dheweke melu acara Gadis Sampul 1992.,Cindy mengawali kariernya saat mengikuti ajang pemilihan GADIS Sampul 1992.
Tengku Firmansyah akire mutusake kanggo urip bebrayanan karo Cindy nalika tanggal 11 Maret 1999.,Tengku Firmansyah akhirnya menikah dengan Cindy pada tanggal 11 Maret 1999.
"Saka nikahan kasebut dheweke olih momongan ning taun 2000, anake kang nomer siji jenenge Tengku Syaira Anataya, lair nalika tanggal 27 Maret 2000, lan si kembar Tengku Omar Atalla lan Tengku Kianu Jimbaran lair nalika tanggal 6 Desember 2003.","Dari pernikahan tersebut lahir Tengku Syaira Anataya (27 Maret 2000), dan si kembar Tengku Omar Atalla dan Tengku Kianu Zimraan pada (6 Desember 2003)."
Ananging grup musik Gallery namung sempet gawe album siji irah irahe Gallery.,"Sayang Gallery hanya sempat membuat satu album bertitel ""Gallery""."
"Babagan kasebut, ora gawe Cindy mandhek anggone nyanyi, ing tengah tengah taun 2002 dheweke ngetokake album solo Kala Kunanti.","Pertengahan tahun 2002 dia mengeluarkan album solo ""Kala Kunanti""."
"Album kasebut isine sepuluh tembang aliran pop rock, pitu tembangan ning album kasebut kasil saka ciptaane dhewe.","Album tersebut berisikan sepuluh lagu beraliran pop rock, tujuh di antaranya merupakan hasil karya Cindy sendiri."
"Ora namung dadi model, presenter lan penyanyi, Cindy uga nyoba kanggo njegur ning seni peran karo mbintangi sinetron, kayata Cerita Cinta, Cintaku Tembus Waktu lan sinetron religine sing paling anyar judule Sajadah Cinta.","Selain menjadi model, pembawa acara, dan penyanyi, Cindy juga merambah seni peran dengan membintangi beberapa sinetron, diantaranya ""Cerita Cinta"", ""Cintaku Tembus Waktu"" dan sinetron religi, ""Sajadah Cinta""."
"Toko, Penawangan, Grobogan","Toko, Penawangan, Grobogan"
